LOT,LOT_DATA_COLLECT_DATE,ENTITY,MONITOR_SET_NAME,TEST_NAME,MEASUREMENT_SET_NAME,LO_CONTROL_LMT,UP_CONTROL_LMT,RESIST,CHART_PT_VALID_FLAG,CR_VALUE,RAW_WAFER,X_COORDINATE,Y_COORDINATE,SLOT
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3382.379883,AANBC117TEG2,-57.9062,-136.2,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3362.199951,AANBC117TEG2,0.0067,-134.7529999,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3377.419922,AANBC117TEG2,57.9062,-136.2,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3361.330078,AANBC117TEG2,96.51,-96.51,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3368.550049,AANBC117TEG2,19.3019,-96.51,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3367.73999,AANBC117TEG2,-57.9062,-96.51,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3384.580078,AANBC117TEG2,-136.2,-57.9062,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3371.159912,AANBC117TEG2,-96.51,-57.9062,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.860107,AANBC117TEG2,-47.4578,-36.4348,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3373.419922,AANBC117TEG2,-19.3019,-57.9062,9
